Tabela 8888 - Produção Física Industrial, por seções e atividades industriais;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Variável - PIMPF - Número-índice (2022=100) (Número-índice);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seções e atividades industriais (CNAE 2.0) - 1 Indústria geral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brasil e Unidade da Federação;Mês;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;janeiro 2002;fevereiro 2002;março 2002;abril 2002;maio 2002;junho 2002;julho 2002;agosto 2002;setembro 2002;outubro 2002;novembro 2002;dezembro 2002;janeiro 2003;fevereiro 2003;março 2003;abril 2003;maio 2003;junho 2003;julho 2003;agosto 2003;setembro 2003;outubro 2003;novembro 2003;dezembro 2003;janeiro 2004;fevereiro 2004;março 2004;abril 2004;maio 2004;junho 2004;julho 2004;agosto 2004;setembro 2004;outubro 2004;novembro 2004;dezembro 2004;janeiro 2005;fevereiro 2005;março 2005;abril 2005;maio 2005;junho 2005;julho 2005;agosto 2005;setembro 2005;outubro 2005;novembro 2005;dezembro 2005;janeiro 2006;fevereiro 2006;março 2006;abril 2006;maio 2006;junho 2006;julho 2006;agosto 2006;setembro 2006;outubro 2006;novembro 2006;dezembro 2006;janeiro 2007;fevereiro 2007;março 2007;abril 2007;maio 2007;junho 2007;julho 2007;agosto 2007;setembro 2007;outubro 2007;novembro 2007;dezembro 2007;janeiro 2008;fevereiro 2008;março 2008;abril 2008;maio 2008;junho 2008;julho 2008;agosto 2008;setembro 2008;outubro 2008;novembro 2008;dezembro 2008;janeiro 2009;fevereiro 2009;março 2009;abril 2009;maio 2009;junho 2009;julho 2009;agosto 2009;setembro 2009;outubro 2009;novembro 2009;dezembro 2009;janeiro 2010;fevereiro 2010;março 2010;abril 2010;maio 2010;junho 2010;julho 2010;agosto 2010;setembro 2010;outubro 2010;novembro 2010;dezembro 2010;janeiro 2011;fevereiro 2011;março 2011;abril 2011;maio 2011;junho 2011;julho 2011;agosto 2011;setembro 2011;outubro 2011;novembro 2011;dezembro 2011;janeiro 2012;fevereiro 2012;março 2012;abril 2012;maio 2012;junho 2012;julho 2012;agosto 2012;setembro 2012;outubro 2012;novembro 2012;dezembro 2012;janeiro 2013;fevereiro 2013;março 2013;abril 2013;maio 2013;junho 2013;julho 2013;agosto 2013;setembro 2013;outubro 2013;novembro 2013;dezembro 2013;janeiro 2014;fevereiro 2014;março 2014;abril 2014;maio 2014;junho 2014;julho 2014;agosto 2014;setembro 2014;outubro 2014;novembro 2014;dezembro 2014;janeiro 2015;fevereiro 2015;março 2015;abril 2015;maio 2015;junho 2015;julho 2015;agosto 2015;setembro 2015;outubro 2015;novembro 2015;dezembro 2015;janeiro 2016;fevereiro 2016;março 2016;abril 2016;maio 2016;junho 2016;julho 2016;agosto 2016;setembro 2016;outubro 2016;novembro 2016;dezembro 2016;janeiro 2017;fevereiro 2017;março 2017;abril 2017;maio 2017;junho 2017;julho 2017;agosto 2017;setembro 2017;outubro 2017;novembro 2017;dezembro 2017;janeiro 2018;fevereiro 2018;março 2018;abril 2018;maio 2018;junho 2018;julho 2018;agosto 2018;setembro 2018;outubro 2018;novembro 2018;dezembro 2018;janeiro 2019;fevereiro 2019;março 2019;abril 2019;maio 2019;junho 2019;julho 2019;agosto 2019;setembro 2019;outubro 2019;novembro 2019;dezembro 2019;janeiro 2020;fevereiro 2020;março 2020;abril 2020;maio 2020;junho 2020;julho 2020;agosto 2020;setembro 2020;outubro 2020;novembro 2020;dezembro 2020;janeiro 2021;fevereiro 2021;março 2021;abril 2021;maio 2021;junho 2021;julho 2021;agosto 2021;setembro 2021;outubro 2021;novembro 2021;dezembro 2021;janeiro 2022;fevereiro 2022;março 2022;abril 2022;maio 2022;junho 2022;julho 2022;agosto 2022;setembro 2022;outubro 2022;novembro 2022;dezembro 2022;janeiro 2023;fevereiro 2023;março 2023;abril 2023;maio 2023;junho 2023;julho 2023;agosto 2023;setembro 2023
Brasil;84,35985;81,23882;90,19468;92,75477;93,74586;90,30861;97,02905;97,40784;95,68385;103,92059;97,7581;86,94687;86,21006;83,64805;90,21116;89,17615;92,85332;88,90555;94,79223;95,13301;99,81096;104,87061;98,57643;90,74434;89,48491;86,27226;101,29663;95,78715;100,60552;100,36502;104,98271;107,37683;107,36306;108,93971;106,96965;98,73418;94,43859;89,01654;102,59731;101,36217;106,16136;106,49943;105,46883;111,39355;107,22933;109,21963;107,68567;100,94034;97,48057;93,46685;107,67339;99,8282;111,1146;106,1607;109,25591;114,86336;108,65657;113,57487;111,69618;101,34553;101,38564;96,22568;112,38721;105,592;116,40273;112,88043;116,34116;122,27648;114,61139;125,65204;119,3344;107,93691;110,45695;106,13137;113,89996;115,64141;119,39461;120,34545;126,43891;124,5839;125,0701;126,34873;112,08152;92,19722;91,66715;88,63398;103,19096;99,3135;106,35166;107,43047;113,86257;116,10422;115,87901;123,07453;118,13763;109,62616;106,28638;103,65597;122,44795;115,72172;121,51816;119,43995;124,55664;126,02153;123,28957;125,54517;124,42525;112,54306;108,6343;111,18262;121,63363;113,61426;124,81165;119,80302;123,60012;129,1428;122,10754;123,83857;121,40188;111,49519;103,35733;104,68291;116,1812;108,09827;119,38667;114,50151;121,76721;129,95274;120,52278;130,27003;122,16077;107,48937;110,11744;102,62008;113,85214;118,65181;122,33153;118,51416;125,8847;130,56683;125,03259;131,19189;123,68849;104,97604;107,91411;107,54777;113,37495;111,8974;118,5303;110,61037;121,70206;123,92138;123,07107;127,32526;116,2884;102,2134;102,66304;97,57125;109,92777;103,51269;108,44442;107,78466;111,24612;113,73341;109,91113;113,31974;102,02329;89,97213;88,87564;88,35558;97,51803;96,72772;100,51023;102,14944;104,43092;108,37187;105,65274;105,07812;100,76965;90,00232;90,76173;88,41199;99,55177;92,42064;105,02557;103,06748;107,34819;112,64103;108,34912;110,87912;105,5798;94,39374;95,85064;90,04273;100,49774;100,77646;98,36;106,10223;111,61924;114,4615;105,73437;111,61565;104,28134;90,84141;94,02286;92,15176;94,39633;97,12618;106,03589;99,98849;108,88426;112,1134;106,94489;113,06392;102,50798;89,65106;93,25265;91,90105;90,76051;70,24669;82,93598;91,33918;106,0344;109,41676;111,13157;113,42905;105,13475;97,1061;95,45141;92,15339;100,3173;94,72257;102,95969;102,41462;107,53425;108,81356;106,61016;104,56847;100,5582;92,2986;90,12692;89,76868;98,37445;94,63148;102,66461;101,79733;107,14913;110,72404;105,56805;105,8625;101,38154;91,95129;90,38179;87,48187;99,3764;92,04257;104,62037;101,98357;105,86483;111,22555;106,21609
Amazonas;66,19417;64,85994;73,34467;82,54673;74,66314;76,36698;75,48817;77,90894;83,03398;92,60372;92,81455;72,04322;62,53403;69,32547;69,78894;79,44157;73,13144;73,53954;87,96791;84,38293;93,68097;98,57187;99,18862;75,6588;73,88879;67,37913;92,75034;90,95886;89,51738;90,41126;86,16874;94,9776;99,46396;104,21029;113,52756;86,72179;79,69404;83,35679;105,77746;111,29102;111,86185;119,03237;95,98791;104,79399;103,1734;116,17532;110,49669;82,58539;82,45917;97,31294;114,20531;101,44111;105,15945;95,65764;95,26665;104,93716;106,82829;107,06928;113,08696;82,83647;90,84183;86,82529;111,94083;105,97982;103,39992;102,69591;95,6569;118,09021;108,23322;123,40196;119,30629;94,6423;106,91098;102,37692;114,17705;107,89475;108,09037;106,16245;104,18242;114,35883;123,43228;125,76463;110,09733;87,14055;82,18281;80,38518;97,48778;84,04143;98,10641;93,79209;95,57835;110,25546;115,41203;125,79657;121,88845;92,06719;110,71981;99,19275;137,75594;113,53839;114,73677;115,19168;111,27026;119,80487;119,45539;121,89631;130,29772;99,51832;108,77085;109,02483;115,81644;115,14819;122,88256;113,93853;117,50225;129,20264;132,68997;142,53404;130,25352;103,07391;112,61853;102,32493;117,02929;101,61905;107,9473;109,2312;88,91811;127,3233;124,19122;124,37587;126,85914;100,98767;108,38863;100,62982;118,26854;117,14953;115,80478;109,83506;117,90571;129,15957;129,77101;136,43587;136,37535;106,16021;118,51054;121,74203;125,94927;116,91463;108,24996;91,75701;113,63948;114,47439;121,82612;123,56457;113,73714;100,95611;104,91458;97,62974;100,97726;93,7463;93,17493;90,61578;92,15085;99,31795;105,2543;97,16746;90,33327;70,72803;73,13078;73,49827;92,11853;74,54929;87,05182;83,05834;87,68657;91,84114;93,15255;88,79477;93,85308;72,74169;78,74149;77,67586;84,71601;80,01844;87,02986;82,97821;86,83576;96,47955;99,17099;99,54439;94,36197;84,1912;103,90477;89,61888;104,14246;90,13824;90,61135;84,73699;92,1619;89,93657;84,71341;102,47669;92,64762;72,41197;93,81534;96,23697;92,65797;93,63177;93,70935;89,45637;92,71409;101,2547;99,22454;108,92005;104,20246;81,56414;98,95218;94,0976;87,3583;41,07545;47,03363;81,34778;99,56158;102,58241;114,01377;115,66991;114,2556;89,42859;89,16276;84,41999;107,48425;94,67498;93,84724;101,3113;91,4755;101,33113;98,73669;101,95769;99,69004;91,47992;86,65385;93,02428;100,5944;94,49531;106,20031;94,83285;108,24772;113,83798;107,24166;111,21315;100,98629;82,67219;97,95601;99,61781;124,22737;95,05304;114,31215;101,22629;96,22379;116,85389;105,19858
Pará;42,18845;43,87127;49,03887;47,23585;46,83442;48,13815;50,0683;49,37327;45,08725;49,03078;49,42669;51,13682;49,18673;42,72727;52,46012;50,17149;53,7622;51,09222;53,00142;54,76148;53,47661;54,49923;52,23753;57,35998;51,21495;51,4872;54,93076;53,58349;56,17583;56,22118;58,25966;60,76544;59,91866;60,43847;61,21968;62,94119;57,16704;50,74628;57,38852;57,33308;59,23295;60,32775;57,98128;61,06402;62,10638;64,69201;61,56457;65,69745;63,21526;56,33612;67,56902;64,11052;70,83314;69,91452;71,44707;72,50112;72,08715;72,79279;74,09485;73,06565;71,16344;60,89142;70,89573;66,02811;72,04799;70,4282;73,70519;75,01994;73,2554;74,937;73,53414;78,3014;75,31028;70,14766;73,99093;67,88101;74,47663;76,12121;80,57619;84,60627;80,16897;85,08599;77,82147;75,60241;73,36084;65,4382;73,45474;65,88567;66,90176;75,58823;78,31702;76,748;73,226;77,15441;72,83789;74,75502;75,10086;70,24866;79,4318;74,2041;76,70821;77,35711;79,60471;84,39415;79,07406;80,37589;82,65818;85,28945;78,89345;68,50471;72,65929;74,98983;81,47446;80,15322;88,60916;87,76323;83,31188;84,03466;81,73582;88,57865;66,57957;66,90262;72,71853;75,2673;85,15466;82,69305;83,92029;83,96331;78,98369;87,44161;81,29092;90,72173;74,92771;62,77859;64,39267;57,12039;67,73208;80,08154;89,50876;86,21803;82,01723;91,78347;84,22911;96,08904;74,43173;65,30771;72,55747;78,24256;86,20055;85,13032;88,62478;91,22876;86,72282;96,43158;90,0678;97,48706;78,92458;71,32066;82,15326;83,32286;86,76647;87,88692;91,51618;85,9286;94,37683;96,55557;92,05397;97,56284;86,92846;81,95526;87,85547;89,81196;93,24985;100,57283;100,39779;100,21956;97,55251;98,42896;100,82824;108,08029;99,2108;84,27317;93,31039;94,50115;107,45851;108,07597;113,94395;110,1089;110,25384;115,17933;111,89333;115,71508;114,79149;84,32528;103,97061;93,73879;114,14481;122,54617;129,52045;122,44174;125,8687;130,04946;121,73294;123,61055;115,73584;95,11671;91,55469;64,28627;114,50067;125,96546;133,95044;137,99202;123,5247;125,74421;118,23698;125,32363;107,25653;102,45101;88,04979;87,2392;99,59276;115,92315;126,05361;137,0846;133,53482;131,93272;112,90956;128,25532;121,02161;90,7898;95,16177;92,51075;104,30699;106,8163;112,28544;128,52789;122,96882;113,23873;115,09225;116,87583;94,30746;88,89887;88,70607;84,87622;82,48519;104,42237;117,13045;118,2127;105,9401;112,01352;97,49752;105,50959;90,00211;84,51719;91,4919;89,30122;107,04314;111,10222;113,78153;107,91688;121,32402
Maranhão;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;90,65462;87,27679;91,03112;98,81169;100,92958;99,92207;107,85503;106,56675;103,9939;104,18653;97,21208;111,55985;101,50067;92,73098;98,03657;82,64458;91,1936;82,92439;100,50051;107,49782;98,40087
Ceará;100,58918;89,94594;98,67585;101,54417;101,41504;96,91332;110,49194;103,71242;112,1774;121,0301;122,73753;109,95491;106,54281;98,98979;95,96646;102,74275;95,14905;93,24135;101,20437;104,37196;109,90508;121,6292;114,95195;102,70604;101,39561;96,18187;111,03226;99,79793;106,1365;105,54232;120,4897;123,10284;132,48245;137,80552;139,4432;121,28113;111,39989;99,90008;108,42115;111,25461;111,76133;107,1008;113,42348;119,14633;115,85808;120,4932;129,28019;111,18182;121,42683;108,28494;122,48231;111,45813;117,49371;115,22126;128,3011;127,55313;126,53;133,13856;135,58752;117,11483;115,84061;109,83315;119,90055;112,23557;124,66558;117,90523;122,49153;126,36204;127,88923;141,15015;138,39395;120,67097;110,89487;116,52926;128,02585;119,33559;115,89089;121,29901;128,75956;133,64518;131,70813;143,67542;132,68482;112,39796;107,60019;104,89346;119,96591;115,33938;108,70785;109,19106;120,28882;120,17242;125,78364;140,3915;141,49606;126,24516;126,68238;118,64128;133,33231;130,31141;127,6597;131,22076;134,68779;132,95811;134,39838;132,97458;133,29812;113,37028;106,16572;112,13465;115,35338;103,4952;109,98287;107,53396;106,37981;116,19367;119,42683;122,54215;122,88059;106,61465;102,24206;101,26317;113,03175;100,24334;108,73597;102,0925;111,53205;116,58015;120,21648;129,65087;132,21339;107,85164;117,88965;106,07888;113,74342;118,85761;116,36529;112,5365;127,51105;132,16585;133,52197;147,80648;140,46489;112,86992;112,89624;114,16139;112,87092;112,71988;116,04773;104,79117;124,76304;129,61324;133,74062;135,10956;131,20703;114,75956;106,96012;103,24588;109,03668;96,11192;100,15587;104,09299;107,35129;115,46119;117,90631;123,71321;117,36976;98,60185;96,73277;92,76072;102,51678;93,68384;97,3751;100,31848;106,80899;112,37776;110,87491;114,79103;112,50284;103,33943;98,37719;91,32383;100,85154;87,37805;104,00699;103,69085;108,20428;117,02579;114,2315;123,56458;117,49286;104,2001;103,05546;93,08131;102,35065;92,57163;94,1161;100,59936;109,01123;117,04261;118,38752;125,3401;120,50776;99,97225;101,38023;100,23433;95,74917;97,53365;103,84057;99,55393;109,32597;117,65971;118,3663;124,6893;123,55832;104,01983;106,12507;101,26682;85,76076;45,02393;50,49978;77,81093;112,3388;123,84792;128,18262;131,95588;130,97003;122,42201;116,85941;101,18238;92,01677;85,43861;93,84617;101,87844;108,83355;116,68611;112,52291;119,06707;116,38687;96,95944;91,24719;91,11223;95,82274;92,2445;102,28716;105,31239;100,45861;112,99139;112,66554;102,6014;103,85657;89,40034;93,10214;83,12938;96,73595;85,01304;94,22884;90,54254;94,90246;98,33874;99,21234
Rio Grande do Norte;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;119,03723;108,48385;108,10443;80,39853;89,93271;100,43033;88,81542;89,06913;93,81437;106,77046;105,87266;109,27085;106,53006;110,58476;109,52125;92,05187;93,73531;117,00371;133,79627;133,39239;131,49247
Pernambuco;86,23764;73,40699;74,09748;74,91601;74,96958;67,97129;75,835;77,40629;84,68952;102,2818;102,23913;104,24305;102,37918;74,96714;71,77693;70,70648;67,24033;63,85287;76,35823;76,81237;92,89501;105,56155;102,98407;107,89665;94,80109;79,60925;86,00512;74,80502;75,94853;73,74359;78,03175;82,70938;96,52896;110,01147;106,0173;107,81594;101,72438;83,40682;85,40262;73,30164;76,05452;74,00928;79,45598;85,87933;94,08444;107,68011;119,33933;116,98994;105,25505;84,07141;87,60631;79,35253;78,09405;79,47327;83,3934;87,23368;99,43223;119,3791;122,19564;118,44161;108,29738;89,23643;91,79429;83,5509;85,72569;83,55716;85,21256;89,70677;98,31975;120,92329;125,84067;126,20585;122,70911;108,95822;101,85802;88,15063;84,29151;85,82568;87,18796;93,16773;109,38955;124,74797;123,8442;119,0561;115,34771;89,41554;94,33421;81,57045;79,77697;80,44509;84,24244;93,67669;109,56828;125,28626;130,98041;125,63637;114,44939;108,79614;115,14436;97,50362;96,69345;94,29226;94,30629;98,18432;113,38602;127,42418;131,36694;125,47167;109,72341;104,20675;106,93055;89,48866;91,18898;94,80612;94,80857;100,73035;118,90978;132,25816;132,8782;129,59655;123,16963;114,49254;109,64295;93,47861;96,5381;92,30639;91,28571;100,70166;113,60397;137,05661;129,23248;126,32235;122,46109;102,82887;100,97387;96,90207;97,9553;94,66133;96,95037;101,89827;107,7901;134,05959;129,54954;133,16138;128,62447;109,31616;113,11656;99,81616;99,6668;87,78619;92,70008;100,69714;115,85076;126,47291;126,84011;122,7012;133,33805;112,8524;112,36089;92,34335;87,90737;88,36643;91,61941;95,81859;109,47678;120,96403;124,65775;106,40002;95,05616;84,18994;87,71115;85,17058;83,23363;82,8854;88,8314;94,61257;106,32666;120,70426;117,04267;113,37443;109,46133;83,30393;90,44751;79,29369;81,06427;81,09665;84,9229;95,27617;103,37899;118,43252;124,386;118,32951;107,55378;87,54893;91,41161;88,46144;78,51758;89,62002;95,57226;107,66563;119,89197;124,51964;118,44467;109,63873;102,7288;89,54548;86,34017;91,49027;90,23839;84,43683;87,33436;97,87565;110,76546;126,07611;116,58909;109,19939;106,92415;100,20965;88,24921;65,59892;78,0085;86,84555;102,91416;108,06664;118,25752;135,29988;128,73052;117,70046;115,14907;99,32419;94,4;86,81511;92,40558;84,62936;93,48271;93,24731;110,13442;125,2252;122,01565;111,68647;103,49198;99,78144;107,61836;99,74117;97,79941;96,36721;98,03228;104,124;100,6871;105,20783;99,93319;87,21603;100,66164;94,93069;105,12926;93,16107;104,00032;100,45398;106,7135;106,93501;96,02298
Bahia;108,36655;96,73707;104,55299;100,15925;96,6783;101,17353;117,78723;119,10427;103,53352;115,07508;113,06586;113,85661;110,73033;92,70516;108,00648;107,77203;108,84516;103,48274;111,30081;108,53558;115,02516;115,26785;90,97069;104,54637;111,35056;105,27618;120,01597;114,22183;121,01689;125,72257;117,74653;116,68186;119,61707;125,53698;123,58536;121,0129;118,30065;109,00082;121,11362;121,06252;120,63234;122,95608;129,14366;131,09386;125,74996;127,62939;123,80101;132,6593;127,3363;117,14415;128,98689;127,95232;130,84563;124,37988;126,96703;131,7862;129,84009;133,52585;130,08101;122,34077;134,17729;116,24545;128,18743;117,58416;131,22133;127,81944;136,88987;132,77696;127,02371;138,16561;133,19222;132,88529;134,45209;129,82076;127,53365;132,6556;137,60357;126,16379;136,20627;141,13218;139,94268;137,78996;129,80563;114,41204;110,63274;116,97145;123,96479;101,05711;117,0675;127,78725;120,90021;133,18266;133,2459;137,60916;135,17731;140,3852;137,23904;125,59017;136,70253;131,10506;142,48154;130,56194;141,36145;139,0356;132,0354;145,31424;131,33957;126,63017;124,38157;106,25187;130,83495;124,91483;138,03586;137,29398;132,64118;135,43465;129,29596;138,67003;123,08222;118,42758;128,87893;120,95789;130,48667;124,561;140,20517;130,97773;134,47639;138,16424;132,23799;141,73268;140,35693;140,1689;144,12558;126,97791;138,44315;143,24363;149,74697;145,06316;153,99441;147,89189;142,58501;140,18833;143,46651;135,21232;134,33245;126,22433;141,81215;142,00367;138,98564;127,49553;144,71017;138,60996;143,86376;152,03662;143,42837;132,5427;118,46566;97,14117;137,84483;123,78052;132,05609;132,4697;146,04516;143,04729;130,56649;138,50235;124,37759;127,28854;130,5814;108,43562;127,49563;122,6627;128,17998;124,81551;119,40802;128,17591;121,47715;128,24542;117,17013;115,64017;111,61152;104,57568;123,47809;113,81204;128,93844;112,33154;130,26905;135,97615;128,84643;125,81816;120,45427;114,03993;118,35437;108,2456;117,23583;119,68725;111,36567;122,89744;131,26709;137,66077;125,4794;134,63561;120,17138;115,34011;111,43423;110,73761;109,12345;118,16217;125,50572;112,3443;123,27127;125,24538;123,62547;132,66848;118,42132;110,61626;120,39388;118,20116;115,30721;87,09703;99,79637;97,24043;117,49877;118,57214;121,93621;124,4283;118,15319;111,2735;103,19624;94,13811;95,11083;78,90003;81,23303;91,95513;106,18399;102,80351;105,00773;110,44978;101,73563;100,91448;100,93776;94,19202;103,63492;96,67658;104,59599;102,66016;105,51613;105,71214;104,07899;98,26322;92,81294;90,91918;90,46925;88,39899;104,54683;97,14151;101,20025;99,01674;102,14126;98,93425;94,74703
Minas Gerais;87,47264;80,05854;90,71677;87,12973;89,60678;88,31143;92,92716;94,09752;94,92158;98,85083;93,72756;85,16683;87,19323;85,23347;90,22169;86,54799;90,99859;88,46581;92,91199;94,77017;96,27986;99,19904;95,07816;92,83905;88,90445;86,04744;95,47469;91,31835;96,43605;96,40384;101,81397;105,4959;101,65414;104,94178;101,54893;93,58832;96,06934;89,97028;100,5937;99,46369;100,92767;105,0041;106,77806;109,45567;106,24933;110,31938;105,14155;98,29456;100,9692;96,59997;106,93379;100,86934;109,72607;105,17368;110,50432;114,99667;111,25389;113,72641;112,10042;105,65962;106,77069;99,99712;115,56262;110,19565;119,11152;117,09366;122,93088;126,78433;118,83;125,35225;122,70766;113,63296;117,9697;111,03189;119,06219;118,38381;124,87457;124,83272;133,45413;131,8773;127,82041;126,0278;104,12211;80,66097;83,39802;82,5082;98,37291;94,21526;101,5156;106,91901;112,81387;114,31988;114,2107;118,22809;112,08639;105,42799;105,06851;103,57456;119,33458;115,32883;122,89182;118,71009;123,97232;125,31066;125,08093;125,89137;119,00206;113,67841;108,49513;111,7297;121,53957;114,53548;124,00315;121,42007;123,67168;124,03629;116,39948;120,86169;121,50718;109,81138;99,97321;105,80351;117,44361;113,57382;122,73447;119,73045;128,34595;133,46637;125,97653;134,64619;122,93303;113,71957;110,62996;98,38072;113,5221;117,28949;126,83412;122,93675;128,15759;131,47064;125,93695;132,85898;121,51604;104,46972;109,7588;108,12387;116,99908;112,19101;121,96182;115,75992;123,62713;124,69286;125,53019;126,71562;112,33209;100,76378;106,33679;97,6077;106,71746;104,12992;113,7;111,20669;115,06762;119,84504;112,22031;118,18533;99,59199;91,03543;87,45616;87,929;98,0622;99,94848;106,15164;105,0012;110,72698;113,37397;110,0373;105,23162;99,29305;93,48471;91,70181;91,04992;100,70196;97,21434;108,56051;107,83174;111,75564;114,31813;108,01162;107,68772;101,27409;91,7163;94,38138;84,72467;94,82358;100,62164;98,87901;106,48268;108,44934;112,44541;103,81183;107,96336;98,94849;92,12769;96,14229;85,48928;87,9695;91,13139;98,30649;95,39151;101,58028;105,00167;101,61113;103,62917;90,41063;79,32765;82,28883;80,09038;84,56073;73,94101;84,60713;90,86706;103,64799;106,75477;105,72306;106,33793;95,32204;93,80899;90,04279;83,8864;94,90056;97,43419;112,19102;111,45427;112,6255;114,12514;110,45666;100,80863;94,5462;93,36055;81,1118;83,76339;96,2929;96,28244;106,18783;102,66977;111,19429;111,35525;108,57931;108,81512;102,74578;91,00287;89,41155;89,26044;103,56343;98,23244;111,72549;107,06531;112,17826;112,60916;109,21727
